fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m2-993,1.15082819201237,20220816,m2-479,f2-208,2022-04-08,down_selected,20220816,first choice
m2-866,11.3705134008211,20220711,m2-689,f2-232,2022-03-22,down_selected,20220711,first choice
m2-942,8.04901041543786,20220722,m2-502,f2-236,2022-04-04,down_selected,20220722,first choice
m2-982,7.98530440660383,20220809,m2-438,f2-167,2022-03-30,down_selected,20220809,first choice
m2-873,7.79142969666558,20220712,m2-526,f2-220,2022-03-23,down_selected,20220712,first choice
m2-952,7.75998891768278,20220727,m2-713,f2-198,2022-04-04,down_selected,20220727,first choice
m2-1045,7.64849748312419,20220829,m2-654,f2-187,2022-04-18,down_selected,20220829,first choice
m2-844,7.38880000249113,20220705,m2-428,f2-194,2022-03-28,down_selected,20220705,first choice
m2-831,6.78369719647942,20220704,m2-726,f2-199,2022-03-21,down_selected,20220704,first choice
m2-1076,6.13205473611207,20220906,m2-689,f2-231,2022-04-18,down_selected,20220906,first choice
m2-1049,5.796886204654,20220829,m2-754,f2-175,2022-04-18,down_selected,20220829,first choice
m2-898,5.60458963400067,20220715,m2-759,f2-224,2022-03-25,down_selected,20220715,first choice
m2-889,5.4753186063174,20220713,m2-762,f2-219,2022-03-25,down_selected,20220713,first choice
m2-887,5.4507401597969,20220712,m2-658,f2-211,2022-03-25,down_selected,20220712,first choice
m2-957,5.1379527820572,20220727,m2-454,f2-164,2022-04-05,down_selected,20220727,first choice
m2-906,5.01336556412226,20220718,m2-734,f2-216,2022-03-28,down_selected,,backup sample
m2-838,4.99194183590981,20220705,m2-455,f2-163,2022-03-22,down_selected,,backup sample
m2-985,4.8738550096526,20220809,m2-565,f2-176,2022-04-07,down_selected,,backup sample
m2-989,4.45401135028839,20220810,m2-605,f2-171,2022-04-08,down_selected,,backup sample
m2-1002,4.35209222845374,20220819,m2-437,f2-168,2022-04-11,down_selected,,backup sample
m2-911,4.24770078158923,20220718,m2-743,f2-240,2022-03-28,down_selected,,backup sample
m2-949,4.19552441830344,20220722,m2-654,f2-186,2022-04-04,down_selected,,backup sample
m2-971,4.19307500423414,20220728,m2-710,f2-183,2022-04-06,down_selected,,backup sample
m2-876,3.71963590310196,20220712,m2-502,f2-235,2022-03-23,down_selected,,backup sample
m2-930,3.66396239330895,20220721,m2-726,f2-200,2022-04-04,down_selected,,backup sample
